File,EntryID,Name,English,Chinese
AdventureTable,19,,"The evil might of Thassilon has been revealed, and Sandpoint sits upon one of its more fiendish ruins. To combat the resurrection of this dark nation of sin-obsessed wizards, Sandpoint’s heroes must scour the town of its haunted ruins, then travel to the dragon-guarded shores of Rimeskull. There, they’ll infiltrate the ancient Thassilonian laboratory of Runeforge, face its seven sinful branches and their timeless magical guardians, and claim the power of runeforged weapons for their own.",瑟 西 隆 的 邪 恶 势 力 已 经 被 揭 露 ， 而 沙 点 镇 则 坐 落 在 一 个 更 加 残 忍 的 废 墟 之 上 。 为 了 防 止 这 个 黑 暗 国 度 的 复 活 ， 沙 点 镇 的 英 雄 们 必 须 在 其 闹 鬼 的 废 墟 上 搜 索 ， 然 后 前 往 被 龙 守 卫 的 白 霜 骷 髅 海 岸 。 在 那 里 ， 他 们 会 渗 透 到 古 代 瑟 西 隆 符 文 熔 炉 实 验 室 ， 面 对 着 它 的 七 个 罪 恶 的 分 支 和 永 恒 的 魔 法 守 护 者 ， 并 声 称 拥 有 自 己 制 造 符 文 熔 炉 武 器 的 力 量 。 
AdventureTable,20,,Each character gains a card feat.,每 个 角 色 获 得 一 项 卡 牌 专 长 。
AdventureTable,21,,Spires of Xin-Shalast,新 沙 城 的 尖 顶 
AdventureTable,22,,"The restoration of Thassilon has begun. Within his fortress-city of Xin-Shalast, Karzoug, Runelord of Greed, stirs from his ages-long slumber. Those who survive climbing the dizzying Kodar Mountains and exploring the ruined city of Xin-Shalast must still face Karzoug’s most nefarious guardians and fight their way to the Eye of Avarice. Within that Magical refuge they’ll finally face Karzoug himself in a battle to determine the fate of all Varisia. Will the heroes survive, or will the runelords rise once more?",瑟 西 隆 的 重 建 已 经 开 始 。 在 他 的 堡 垒 — — 新 沙 城 ， 卡 卓 --贪 婪 的 符 文 领 主 ， 从 他 的 长 期 沉 睡 中 醒 来 。 那 些 在 令 人 眼 花 缭 乱 的 柯 达 山 脉 中 幸 存 下 来 的 人 ， 以 及 成 功 探 索 被 毁 的 新 沙 城 的 人 ， 仍 然 必 须 面 对 着 卡 卓 最 邪 恶 的 守 护 者 ， 并 努 力 进 入 贪 婪 之 眼 。 在 那 神 奇 的 避 难 所 中 ， 他 们 最 终 将 面 对 卡 卓 本 人 ， 以 决 定 所 有 瓦 里 西 亚 的 命 运 。 英 雄 们 会 幸 存 吗 ？ 还 是 符 文 领 主 会 再 次 崛 起 ？ 
AdventureTable,23,,Each character gains a card feat.,每 个 角 色 获 得 一 项 卡 牌 专 长 。
AdventureTable,24,,Burn Everythings,焚 烧 一 切 
AdventureTable,25,,Start of the goblins rising.,地 精 崛 起 的 开 始 
AdventureTable,26,,Each character gains a card feat.,每 个 角 色 获 得 一 项 卡 牌 专 长 。
AdventureTable,27,,A Fighter's Tale: Valeros,战 士 传 说 ： 巴 莱 罗 斯 
AdventureTable,28,,The description for the adventures of Valeros!,关 于 巴 莱 罗 斯 冒 险 的 描 述 ！ 
AdventureTable,29,,5000 Gold,5000金 币 
AdventureTable,30,,The Goblin Cannibal,地 精 食 人 族
AdventureTable,31,,The Goblin Cannibal placeholder description text,地 精 食 人 族 占 位 描 述 文 本
CardTable,0,,Acolyte,侍 从
CardTable,1,,Recharge this card to add 1d4 to your Arcane or Divine check.\n \nRecharge this card to add 1d6 to your check to recharge a card that has the Magic trait.,回 库 这 张 卡 牌 为 你 的 奥 术 或 神 术 检 定 增 加 1d4.\n\n回 库 这 张 卡 牌 为 你 的 检 定 增 加 1d6以 回 库 一 张 具 有 魔 法 特 性 的 卡 牌 。 
CardTable,2,,Acolyte,侍 从
CardTable,3,,Recharge this card to add 1d4 to your Arcane or Divine check.\n \nRecharge this card to add 1d6 to your check to recharge a card that has the Magic trait.,回 库 这 张 卡 牌 为 你 的 奥 术 或 神 术 检 定 增 加 1d4.\n\n回 库 这 张 卡 牌 为 你 的 检 定 增 加 1d6以 回 库 一 张 具 有 魔 法 特 性 的 卡 牌 。 
CardTable,4,,Aldern Foxglove,奥 德 恩 · 狐 狸 手 套 
CardTable,5,,"Banish this card to reduce damage dealt to a character at your location by 3.\n \nBanish this card to succeed at your check to acquire a weapon, an armor, an item, or a spell.",放 逐 这 张 卡 牌 以 减 少 当 前 地 点 一 个 角 色 受 到 的 3伤 害 。 \n\n放 逐 这 张 卡 使 检 定 成 功 以 获 取 一 把 武 器 ， 一 件 护 甲 ， 一 件 物 品 或 一 个 法 术 。
CardTable,6,,Ameiko Kaijitsu,海 实 · 天 衣 子 
CardTable,7,,Banish this card to add 1d10 to your check.\n \nBanish this card to draw a card from your discard pile.,放 逐 这 张 卡 牌 为 你 的 检 定 增 加 1d10。 \n\n放 逐 这 张 卡 牌 从 你 的 弃 置 牌 堆 摸 一 张 卡 .
CardTable,8,,Archer,射 手 
CardTable,9,,Recharge this card to add 1d4 to your Ranged combat check.\n \nDiscard this card to explore your location.,回 库 这 张 卡 牌 为 你 的 远 程 战 斗 检 定 增 加 1d4。 \n\n弃 置 这 张 卡 牌 探 索 当 前 地 点 .
CardTable,10,,Burglar,窃 贼 
CardTable,11,,"Recharge this card to add 1d10 to your Disable or Stealth check or your check to defeat a barrier.\n\nIf you fail to acquire this card, discard a weapon or an item.",回 库 这 张 卡 牌 为 你 的 解 除 或 潜 行 检 定 或 者 打 败 障 碍 检 定 增 加 1d10.\n\n如 果 未 能 获 取 这 张 卡 牌 ， 弃 置 一 把 武 器 或 是 一 个 道 具 .
CardTable,12,,Burglar,窃 贼 
CardTable,13,,"Recharge this card to add 1d10 to your Disable or Stealth check or your check to defeat a barrier.\n \nIf you fail the check to acquire this card, discard 1 weapon or item.",回 库 这 张 卡 牌 为 你 的 解 除 或 潜 行 检 定 或 者 打 败 障 碍 检 定 增 加 1d10.\n\n如 果 检 定 失 败 未 能 获 取 这 张 卡 牌 ， 弃 置 一 把 武 器 或 是 一 个 道 具 .
CardTable,14,,Crow,乌 鸦 
CardTable,15,,"Recharge this card to add 1d6 to your check to acquire a weapon, an armor, or an item.\n \nDiscard this card to explore your location.",回 库 这 张 卡 为 你 的 检 定 增 加 1d6以 获 取 一 把 武 器 ， 一 件 护 甲 或 是 一 个 道 具 .\n\n弃 置 这 张 卡 牌 以 探 索 你 的 地 点 .
CardTable,16,,Crow,乌 鸦 
CardTable,17,,"Recharge this card to add 1d6 to your check to acquire a weapon, an armor, or an item.\n \nDiscard this card to explore your location.",回 库 这 张 卡 为 你 的 检 定 增 加 1d6以 获 取 一 把 武 器 ， 一 件 护 甲 或 是 一 个 道 具 .\n\n弃 置 这 张 卡 牌 以 探 索 你 的 地 点 .
CardTable,18,,Cyrdak Drokkus,希 尔 达 克 · 卓 库 斯 
CardTable,19,,Recharge this card to add 1d6 to your check to acquire an ally.\n \nBanish this card to draw an ally from your discard pile.,回 库 这 张 卡 牌 为 你 获 取 一 个 盟 友 的 检 定 增 加 1d6。 \n\n放 逐 这 张 卡 牌 从 你 的 弃 置 牌 堆 摸 一 个 盟 友 .
CardTable,21,,Recharge this card to add 1d10 to your Perception check.\n \nDiscard this card to explore your location.,回 库 这 张 卡 牌 为 你 的 感 知 检 定 增 加 1d10.\n\n弃 置 这 张 卡 牌 以 探 索 你 的 地 点 .
CardTable,22,,Father Zantus,桑 特 斯 神 父 
CardTable,23,,Recharge this card to add 1d4 to your Divine check.\n \nBury this card to recharge 1d4+1 random cards from your discard pile.,回 库 这 张 卡 牌 为 你 的 神 圣 检 定 增 加 1d4.\n\n埋 葬 这 张 卡 牌 为 你 从 弃 置 牌 堆 回 库 1d4+1随 机 卡 牌 .
CardTable,24,,Grizzled Mercenary,沧 桑 的 雇 佣 兵 
CardTable,25,,"Bury this card to add 1d8 to a combat check by a character at your location.\n \nDiscard this card to explore your location. If you encounter a boon, banish it.",埋 葬 这 张 卡 牌 为 当 前 地 点 一 个 角 色 增 加 1d8战 斗 检 定 。 \n\n弃 置 这 张 卡 牌 以 探 索 你 的 地 点 .如 果 遭 遇 一 个 恩 赐 ，将 其 放 逐 .
CardTable,26,,Guard,守 卫 
CardTable,27,,Recharge this card to add 1d6 to your Perception check.\n \nBanish this card to reduce damage dealt to any character by 3.,回 库 这 张 卡 牌 为 你 的 感 知 检 定 增 加 1d6.\n\n放 逐 这 张 卡 牌 减 少 对 任 意 角 色 造 成 的 3伤 害 。
CardTable,28,,Guide,向 导 
CardTable,29,,Recharge this card to add 1d10 to your Survival check.\n\nDiscard this card to explore your location.,回 库 这 张 卡 牌 为 你 的 生 存 检 定 增 加 1d10.\n\n弃 置 这 张 卡 牌 以 探 索 你 的 地 点 .
CardTable,30,,Ilsoari Gandethus,伊 索 阿 里 · 甘 德 萨 斯 
CardTable,31,,"During your turn, reveal this card and put it on top of your deck to examine the top card of your location deck; if it's a monster, you may shuffle that monster back into the location deck. After you play this card, roll 1d12; on a 1, summon and encounter the villain The Sandpoint Devil.",在 你 的 回 合 时 ， 亮 出 这 张 卡 牌 并 放 置 于 你 牌 库 的 最 上 面 以 查 看 当 前 地 点 牌 库 最 上 面 的 一 张 卡 片 ； 如 果 是 个 怪 物 ，则 可 以 将 那 个 怪 物 洗 回 地 点 牌 库 。 \n\n使 用 这 张 卡 之 后 ， 掷 1d12； 结 果 为 1， 则 召 唤 并 遭 遇 反 派 沙 点 镇 魔 鬼 。 
CardTable,32,,Mayor Kendra Deverin,坎 德 拉 · 德 弗 兰 市 长 
CardTable,33,,Banish this card to examine your location deck and then shuffle it.,放 逐 这 张 卡 牌 以 查 看 当 前 地 点 牌 库 并 洗 牌 。\n\n 
CardTable,34,,Night Watch,守 夜 人 
CardTable,35,,Recharge this card to add 1d10 to your Perception check.\n \nDiscard this card to explore your location.,回 库 这 张 卡 牌 为 你 的 感 知 检 定 增 加 1d10.\n\n弃 置 这 张 卡 牌 以 探 索 你 的 地 点 .
CardTable,36,,Saber-Toothed Tiger,剑 齿 虎 
CardTable,37,,Recharge this card to add 1d6 to your combat check.\n \nDiscard this card to explore your location.,回 库 这 张 卡 牌 为 你 的 战 斗 检 定 增 加 1d6.\n\n弃 置 这 张 卡 牌 以 探 索 你 的 地 点 .
CardTable,38,,Sage,贤 者 
CardTable,39,,Recharge this card to add 1d6 to your non-combat Intelligence or Wisdom check.\n \nDiscard this card to explore your location.,回 库 这 张 卡 牌 为 你 的 非 战 斗 智 力 或 智 慧 检 定 增 加 1d6.\n\n弃 置 这 张 卡 牌 以 探 索 你 的 地 点 .
CardTable,40,,Shalelu Andosana,莎 乐 璐 · 安 多 萨 纳 
CardTable,41,,"Recharge this card to add 1d4 to any Ranged combat check.\n\nOn your turn, reveal this card to examine the top card of your location deck; then recharge this card, or discard it to encounter the revealed card.",回 库 卡 牌 使 远 程 战 斗 检 定 增 加 1d4。 \n\n在 你 的 回 合 ， 亮 出 这 张 卡 牌 检 视 你 的 地 点 牌 库 顶 端 的 卡 牌 ； 然 后 回 库 这 张 卡 ， 或 者 弃 置 这 张 卡 遭 遇 亮 出 的 卡 牌 。
CardTable,42,,Sheriff Hemlock,赫 姆 洛 克 警 长 
CardTable,43,,Discard this card to add 1d6 to any combat check.\n \nDiscard this card to explore your location.,弃 置 卡 牌 使 任 意 战 斗 检 定 增 加 1d6。 \n\n弃 置 这 张 卡 探 索 你 的 地 点 。 
CardTable,44,,Snake,蛇 
CardTable,45,,Recharge this card to add 1d10 to your non-combat Stealth check.\n \nDiscard this card to add 1d4 to your Strength or Melee combat check.,回 库 卡 牌 使 非 战 斗 潜 行 检 定 增 加 1d10。 \n\n弃 置 卡 牌 使 你 的 力 量 或 近 战 战 斗 检 定 增 加 1d4。 
CardTable,46,,Soldier,士 兵 
CardTable,47,,Recharge this card to add 1d4 to your Melee combat check.\n\nDiscard this card to explore your location.\n,回 库 卡 牌 使 近 战 战 斗 检 定 增 加 1d4。 \n\n弃 置 这 张 卡 探 索 你 的 地 点 。 \n
CardTable,48,,Soldier,士 兵 
CardTable,49,,Recharge this card to add 1d4 to your Melee combat check.\n \nDiscard this card to explore your location.\n ,回 库 卡 牌 使 近 战 战 斗 检 定 增 加 1d4。 \n\n弃 置 这 张 卡 探 索 你 的 地 点 。 \n?
CardTable,50,,Standard Bearer,旗 手 
CardTable,51,,Recharge this card to add 1d6 to your non-combat Strength or Constitution check.\n \nDiscard this card to explore your location.,回 库 卡 牌 使 非 战 斗 力 量 或 体 质 检 定 增 加 1d6。 \n\n弃 置 这 张 卡 探 索 你 的 地 点 。 
CardTable,52,,Toad,蟾 蜍 
CardTable,53,,Bury this card to draw a spell from your discard pile.\n\nDiscard this card to explore your location.,埋 葬 这 张 牌 ， 从 你 的 弃 置 牌 堆 中 摸 一 张 法 术 。 \n\n弃 置 这 张 牌 探 索 你 的 地 点 。 
CardTable,54,,Troubadour,游 吟 诗 人 
CardTable,55,,Recharge this card to add 1d6 to your non-combat Dexterity or Charisma check.\n \nDiscard this card to explore your location.,回 库 卡 牌 使 非 战 斗 敏 捷 或 魅 力 检 定 增 加 1d6。 \n\n弃 置 这 张 卡 探 索 你 的 地 点 。 
CardTable,56,,Troubadour,游 吟 诗 人 
CardTable,57,,Recharge this card to add 1d6 to your non-combat Dexterity or Charisma check.\n \nDiscard this card to explore your location.,回 库 卡 牌 使 非 战 斗 敏 捷 或 魅 力 检 定 增 加 1d6。 \n\n弃 置 这 张 卡 探 索 你 的 地 点 。 
CardTable,58,,Ven Vinder,文 · 凡 达 
CardTable,59,,Banish this card to draw a new item.,放 逐 这 张 牌 摸 新 的 道 具 。\n\n 
CardTable,60,,Chain Mail,链 甲 衫 
CardTable,61,,"Recharge this card to reduce Combat damage dealt to you by 2.\n\nBanish this card to reduce all damage dealt to you to 0; if proficient with heavy armors, bury it instead.",回 库 这 张 牌 ， 对 你 造 成 的 战 斗 伤 害 减 少 2点 。 \n\n放 逐 这 张 牌 ， 对 你 造 成 的 所 有 伤 害 降 到 0； 如 果 精 通 重 甲 ， 则 以 埋 葬 它 替 代 。 
CardTable,62,,Chain Mail,链 甲 衫 
CardTable,63,,"Recharge this card to reduce Combat damage dealt to you by 2.\n\nBanish this card to reduce all damage dealt to you to 0; if proficient with heavy armors, bury it instead.",回 库 这 张 牌 ， 对 你 造 成 的 战 斗 伤 害 减 少 2点 。 \n\n放 逐 这 张 牌 ， 对 你 造 成 的 所 有 伤 害 降 到 0； 如 果 精 通 重 甲 ， 则 以 埋 葬 它 替 代 。 
CardTable,64,,Elven Breastplate,精 灵 胸 甲 
CardTable,65,,"Reveal this card to reduce Combat damage dealt to you by 2.\n\nBanish this card to reduce all damage dealt to you to 0; if proficient with heavy armors, bury it instead.\n\nIf proficient with heavy armors, you may recharge this card when you reset your hand.",亮 出 这 张 卡 ， 对 你 造 成 的 战 斗 伤 害 减 少 2点 。 \n\n放 逐 这 张 卡 ， 对 你 造 成 的 所 有 伤 害 降 到 0； 如 果 精 通 重 甲 ， 则 以 埋 葬 替 代 。 \n\n如 果 精 通 重 甲 ， 当 你 重 置 手 牌 时 可 以 回 库 这 张 卡 牌 。 
CardTable,66,,Elven Chain Shirt,精 灵 链 甲 衣 
CardTable,67,,"Reveal this card to reduce Combat damage dealt to you by 1.\n\nBanish this card to reduce all damage dealt to you to 0; if proficient with light armors, bury it instead.\n\nIf proficient with light armors, you may recharge this card when you reset your hand.",亮 出 这 张 卡 ， 对 你 造 成 的 战 斗 伤 害 减 少 1点 。 \n\n放 逐 这 张 卡 ， 对 你 造 成 的 所 有 伤 害 降 到 0； 如 果 精 通 轻 甲 ， 埋 葬 它 。 \n\n如 果 精 通 轻 甲 ， 当 你 重 置 手 牌 时 可 以 回 库 这 张 卡 牌 。
CardTable,68,,Elven Chain Shirt,精 灵 链 甲 衣 
CardTable,69,,"Reveal this card to reduce Combat damage dealt to you by 1.\n\nBanish this card to reduce all damage dealt to you to 0; if proficient with light armors, bury it instead.\n\nIf proficient with light armors, you may recharge this card when you reset your hand.",亮 出 这 张 卡 ， 对 你 造 成 的 战 斗 伤 害 减 少 1点 。 \n\n放 逐 这 张 卡 ， 对 你 造 成 的 所 有 伤 害 降 到 0； 如 果 精 通 轻 甲 ， 埋 葬 它 。 \n\n如 果 精 通 轻 甲 ， 当 你 重 置 手 牌 时 可 以 回 库 这 张 卡 牌 。
CardTable,70,,Half-Plate,半 身 甲 
CardTable,71,,"Recharge this card to reduce Combat damage dealt to you by 3.\n\nBanish this card to reduce all damage dealt to you to 0; if proficient with heavy armors, bury it instead.",回 库 这 张 牌 ， 对 你 造 成 的 战 斗 伤 害 减 少 3点 。 \n\n放 逐 这 张 牌 ， 对 你 造 成 的 所 有 伤 害 降 到 0； 如 果 精 通 重 甲 ， 则 以 埋 葬 替 代 。 
CardTable,72,,Half-Plate,半 身 甲 
CardTable,73,,"Recharge this card to reduce Combat damage dealt to you by 3.\n\nBanish this card to reduce all damage dealt to you to 0; if proficient with heavy armors, bury it instead.",回 库 这 张 牌 ， 对 你 造 成 的 战 斗 伤 害 减 少 3点 。 \n\n放 逐 这 张 牌 ， 对 你 造 成 的 所 有 伤 害 降 到 0； 如 果 精 通 重 甲 ， 则 以 埋 葬 替 代 。 
CardTable,74,,Leather Armor,皮 甲 
CardTable,75,,"Recharge this card to reduce Combat damage dealt to you by 1.\n\nBanish this card to reduce all damage dealt to you to 0; if proficient with light armors, bury it instead.",回 库 这 张 牌 ， 对 你 造 成 的 战 斗 伤 害 减 少 1点 。 \n\n放 逐 这 张 牌 以 减 少 所 有 伤 害 至 0； 如 果 精 通 轻 甲 ， 埋 葬 它 。 
CardTable,76,,Leather Armor,皮 甲 
CardTable,77,,"Recharge this card to reduce Combat damage dealt to you by 1.\n\nBanish this card to reduce all damage dealt to you to 0; if proficient with light armors, bury it instead.",回 库 这 张 牌 ， 对 你 造 成 的 战 斗 伤 害 减 少 1点 。 \n\n放 逐 这 张 牌 以 减 少 所 有 伤 害 至 0； 如 果 精 通 轻 甲 ， 埋 葬 它 。 
CardTable,78,,Magic Chain Mail,魔 法 链 甲 衫 
CardTable,79,,"Recharge this card to reduce Combat damage dealt to you by 2.\n\nBanish this card to reduce all damage dealt to you to 0; if proficient with heavy armors, bury it instead.\n\nIf proficient with heavy armors, you may recharge this card when you reset your hand.",回 库 这 张 卡 ， 对 你 造 成 的 战 斗 伤 害 减 少 2点 。 \n\n放 逐 这 张 卡 ， 对 你 造 成 的 所 有 伤 害 降 到 0； 如 果 精 通 重 甲 ， 则 以 埋 葬 替 代 。 \n\n如 果 精 通 重 甲 ， 当 你 重 置 手 牌 时 可 以 回 库 这 张 卡 牌 。 
CardTable,80,,Magic Chain Mail,魔 法 链 甲 衫 
CardTable,81,,"Recharge this card to reduce Combat damage dealt to you by 2.\n\nBanish this card to reduce all damage dealt to you to 0; if proficient with heavy armors, bury it instead.\n\nIf proficient with heavy armors, you may recharge this card when you reset your hand.",回 库 这 张 卡 ， 对 你 造 成 的 战 斗 伤 害 减 少 2点 。 \n\n放 逐 这 张 卡 ， 对 你 造 成 的 所 有 伤 害 降 到 0； 如 果 精 通 重 甲 ， 则 以 埋 葬 替 代 。 \n\n如 果 精 通 重 甲 ， 当 你 重 置 手 牌 时 可 以 回 库 这 张 卡 牌 。 
CardTable,82,,Magic Half-Plate,魔 法 半 身 甲 
